symbol,name,exchange,category,country,category_number
000019.SZ,SBSY,SHZ,,China,0
000029.SZ,SPG,SHZ,,China,0
000060.SZ,NONFEMET,SHZ,,China,0
000063.SZ,ZTE,SHZ,,China,0
000088.SZ,YANTIAN PORT,SHZ,,China,0
0001.HK,Cheung Kong (Holdings) Limited,HKG,Real Estate Development,Hong Kong,449
000150.SZ,YIHUA REALTY,SHZ,,China,0
0004.HK,The Wharf (Holdings) Limited,HKG,Property Management,Hong Kong,448
000403.SZ,ZXB&C;,SHZ,,China,0
000408.SZ,*STJG,SHZ,,China,0
000411.SZ,INT'L GROUP,SHZ,,China,0
000420.SZ,JLCF,SHZ,,China,0
000422.SZ,HBYH,SHZ,,China,0
000426.SZ,IMXM,SHZ,,China,0
000430.SZ,ZTDC,SHZ,,China,0
0005.HK,HSBC Holdings plc,HKG,Money Center Banks,Hong Kong,410
000501.SZ,WUSHANG GROUP,SHZ,,China,0
000507.SZ,ZPH,SHZ,,China,0
000514.SZ,YUKAIFA,SHZ,,China,0
000516.SZ,KYIG,SHZ,,China,0
000518.SZ,JSSH,SHZ,,China,0
000519.SZ,JIANGNAN RED ARROW,SHZ,,China,0
000526.SZ,INSIGHT INVESTMENT,SHZ,,China,0
000538.SZ,YUNNAN BAIYAO,SHZ,,China,0
000540.SZ,ZHONGTIAN,SHZ,,China,0
000559.SZ,WXQC,SHZ,,China,0
000562.SZ,HONGYUAN SECURITIES,SHZ,,China,0
000587.SZ,GLJ,SHZ,,China,0
000589.SZ,GZT,SHZ,,China,0
000595.SZ,XIBEI BEARING,SHZ,,China,0
000598.SZ,XINGRONG INVESTMENT,SHZ,,China,0
000600.SZ,JEI,SHZ,,China,0
000606.SZ,QH GELATIN,SHZ,,China,0
000608.SZ,YANGGUANG,SHZ,,China,0
000610.SZ,XATC,SHZ,,China,0
000616.SZ,YELAND,SHZ,,China,0
000622.SZ,YYHL,SHZ,,China,0
000630.SZ,TLYS,SHZ,,China,0
000635.SZ,YLT,SHZ,,China,0
000639.SZ,XIWANG,SHZ,,China,0
